citr;ABiH Ut;iBiH
D;ArayA pr;a
t;An ;upa
s;a naH
;A huve
indra s;omaH
;A gata
tvA havAmahe
;indram ;avase
;aDi ;A
v;izve dev;AsaH
ur;uDArA iva
n;a dev;aH
t;am marjayanta
;A mitr;Av;aruZA
mitr;asya v;aruZasya
;A ca
prav;atA yat;IH
div;aH janit;A
Bara svarv;idam
s;UryaH iva
stot;qByaH ;A
v;aruZAya mar;udByaH
n;qBiH DUt;aH
y;e tvA
mah;aH naH
pratn;ena m;anmanA
t;am vaH
t;ava ty;e
pit;uH n;a
pr;a te
indo p;ari
yuv;am h;i
zr;avaH tv;Am
;aTa u
rAy;aH ;A
tv;am ha
v;qSA daDanve
v;izvAni durit;A
sut;AH im;e
;indum ;indrAya
deva hiraZy;ayaH
s;am u
z;am ca
pr;a aDvar;e
y;e s;omAsaH
m;artAya dAz;uSe
asm;at ;A
s;u jAt;am
z;am g;ave
sadaH ut;a
;apa ;amIvAm
y;am tvA
soma s;OBagA
s;omam ;adriBiH
;adriBiH sut;aH
r;ADasaH mah;aH
y;aH sukr;atuH
s;a vqtrah;A
ca naH
ray;im y;ena
n;a s;UryaH
;it ;upa
v;izvA D;anAni
ugr;aH riZ;an
;indo ;indrasya
eS;a v;izvAni
naH y;at
y;e te
DqSZo ;A
n;a pr;a
pr;a vaH
yUy;am h;i
ray;im asm;aByam
;upa naH
;it asya
y;Atave t;am
t;at naH
naH ;AyuH
k;am cit
n;a razm;iBiH
s;a pUrvy;aH
aB;i pr;ayAMsi
;indavaH aB;i
samudr;am iva
;azvaH n;a
saj;oSasaH dev;AsaH
pr;a naH
;iSam ;Urjam
pr;a avatam
;indraH ca
m;qDaH jahi
aB;i pr;a
z;izum n;a
y;A naH
iva s;aKye
im;A v;izvA
mah;Im ;iSam
indriy;aH r;asaH
n;a yajY;EH
tr;ayaH ekAdaz;AsaH
r;odasI mah;I
m;aDu pr;a
g;iraH ;indrAya
Bqt;im n;a
samudr;iyAH ap;aH
div;i ;A
m;artyeSu ;A
aB;i vraj;am
tv;am naH
v;izvA aB;i
;indram aB;i
tr;iH sapt;a
iva s;inDavaH
naH ;A
;A n;i
;A naH
s;iSAsantaH vanAmahe
asy;a vqtrahan
aB;i gAyata
;A pr;a
n;a g;AvaH
ev;a te
p;ibanti asya
s;a t;u
;A Bara
naH z;arma
;aDa y;at
;indram j;EtrAya
z;arma sapr;aTaH
v;qSA s;omaH
naH mitr;aH
;At Im
m;aDu ;A
v;i naH
p;ari sasvaje
;A aBarat
s;omAsaH parAv;ati
vay;am te
h;i sma
;A dade
dev;AH amatsata
h;i sT;aH
ur;u jr;ayaH
s;a tv;am
vay;am v;izvA
v;areZyam ;A
;iSaH y;aH
y;aH v;izvAni
aB;i zr;iyaH
y;aTA vid;e
v;izve saj;oSasaH
;A ruja
cit tvA
te asy;a
cit aB;i
kqD;i naH
yAta p;ibaDyE
;aDi viSw;api
;it ;indraH
sv:ar dqz;e
mitr;aH v;aruZaH
;apa dv;ArA
p;ari b;ADaH
ut;a naH
v;izvA v;asUni
raT;IH iva
;indram varDanti
cit atr;iZam
aB;i tvA
div;aH n;a
t;ava ah;am
maG;avadByaH ca
iva upad;qk
t;ava kr;atvA
t;eBiH naH
v;Ajam siSAsasi
zukr;am jy;otiH
Diy;AvasuH jagamyAt
im;e r;odasI
indriy;am ;A
dev;eSu patyate
n;a j;AgqviH
vats;am saMz;izvarIH
tv;am h;i
te m;ahaH
u naH
asi priy;aH
;A vqZImahe
h;i naH
vqSwim;An iva
;it varDantu
s;u pr;a
iva pr;a
te vay;am
qt;asya D;ArayA
;anDasaH m;adeSu
madAnAm pate
pr;a cara
;A gahi
m;ahi zr;avaH
aB;i vats;am
citr;am ukTy:am
v;izvam sv:ar
;indram vqtr;Aya
;indrAya indo
aB;i ;A
n;a prav;atA
p;atiH div;aH
parAv;ati y;e
y;at ca
mah;AnAm dev;AnAm
vraj;am n;a
kqDi tv;am
Gqt;am n;a
n;a t;at
m;A te
v;qSA ay;am
;ApaH n;a
soma z;am
r;aTam n;a
naH aB;i
;indram ;indavaH
;A s;a
saKy;am juSAZ;aH
naH D;iyaH
naH v;asyasaH
naH v;izvAH
n;a y;aH
v;izvAH aB;i
;upa mAsi
naH kqDi
m;A u
;IzAnaH ;ojasA
s;Uryasya razm;iBiH
suv;Iryam pr;a
;A p;ari
naH tv;am
nad;ISu ;A
mah;IH ap;aH
r;aTAH iva
janit;A div;aH
tv;am v;izvasya
y;at Asu
naH mqxa
p;ari D;AmAni
;A s;u
t;amAMsi jiGnase
prAt;ar makS;u
sAsahy;Ama pqtanyat;aH
p;anTAm qt;asya
v;asUni dAz;uSe
s;am tvA
asy;a ;it
z;am naH
y;aH im;e
;utsaH deva
v;izvA B;uvanAni
g;AvaH n;a
y;at Im
DukS;asva pipy;uSIm
durit;A ;ati
pr;a s;omaH
;indrAya vajr;iZe
y;aH te
v;izvAni k;AvyA
r;odasI uB;e
aB;i majm;anA
vIr;avatIm ;iSam
ray;iH B;agaH
pAh;i naH
s;omaH indra
y;aH tvA
pIt;aH indo
t;am u
t;am tvA
;qSiH v;ipraH
indo Ut;iBiH
pr;a tvA
;ava caSwe
p;ari srava
barh;iSi priy;e
D;ane hit;e
v;i AnazuH
aB;i svara
Ay;avaH samIcIn;AsaH
naH gahi
z;arDan t;amAMsi
kav;iH k;AvyA
s;am s;UryeZa
n;i sIdasi
dev;aH n;a
;indrAya p;Atave
v;izve ca
am;qtAya k;am
av;aH div;aH
g;Am ;azvam
;aDi priy;aH
y;azaH n;a
iva tm;anA
v;izvAni aB;i
r;odasI v;i
vicarSaZe ;A
indra te
g;avyam ;azvyam
;A yamat
qt;am yat;e
v;AtAH iva
dAz;uSe ;A
h;i tv;am
;ati parSi
r;aTaH n;a
tvA s;am
v;aruZasya vrat;Ani
tan;USu ;A
n;a pipye
vAvqDuH tv;Am
naH asy;a
s;inDavaH n;a
m;adAya k;am
m;A naH
;A asmin
;atyaH n;a
m;AnuSA yug;A
p;ari yanti
pUS;A ray;iH
DIt;iBiH hit;aH
ary;aH ;A
mahat;e s;OBagAya
zr;avase mah;e
;azvam n;a
;Ize y;aH
Bara tv;am
riZ;an ap;aH
t;ava Ut;iBiH
;A v;asu
vA ad;aH
t;am te
y;AH te
naH pr;a
yajY;am ;A
ap;aH sv:ar
;aCa h;i
;upa u
mah;An asi
aB;i ;it
tir;aH r;ajAMsi
g;omatIH ;iSaH
naH ;induH
makS;u Diy;AvasuH
dev;AH tr;ayaH
asy;a B;uvanasya
v;ayaH daDe
v;i nIyate
t;u drava
vqtr;AZi jiGnate
vats;am n;a
r;atnAni dAz;uSe
naH Bara
s;Uryam rohayaH
naH ;indraH
SaSw;im sah;asrA
im;AH g;iraH
dev;aH ;amartyaH
dqX;A cit
satr;AcA m;anasA
DIB;iH v;iprAH
u ty;e
;A s;Uryam
Ar;e asm;at
;A y;at
vay;am syAma
v;izvasya ;IzAnaH
s;omam ;indraH
razm;iBiH z;arDan
;indavaH tir;aH
B;uvanasya rAjasi
asm;e Dehi
n;a nikt;aH
n;a mAt;qBiH
pqTiv;I ca
vAjay;antaH r;aTAH
vIr;avat y;azaH
ay;am te
n;a putr;aH
tv;am asm;at
u ty;am
aB;i priy;A
;A tv;am
n;a h;i
v;izvA ca
vAj;inaH vay;am
n;a tvA
naH yAhi
qt;aH kav;iH
tv;am soma
;indram ;A
iva priy;am
somy;am m;aDu
juS;anta y;at
;A vivAsati
saMz;izvarIH iva
ray;im naH
u sy;a
;A te
r;ADaH maG;onAm
s;UraH ;A
h;i kam
t;ena naH
t;u naH
t;am ;it
naH y;aTA
tv;Am v;iprAsaH
naH citr;am
t;ava jy;otIMSi
s;omaH indriy;aH
te v;aze
Bara ray;im
ray;im ;A
zavasaH pate
;it aB;i
;aDa dvit;A
y;asya te
n;u te
;A soma
;azvam g;Am
te Az;avaH
v;izvAH ;apa
s;omam ;indrAya
te indo
;ojasA t;am
;A t;u
tv;am r;AjA
u tvA
s;omasya pIt;aye
;A viveza
v;i t;at
naH g;omatIH
s;omaH cam;USu
ut;a kr;atum
;ekam ;it
iva r;odasI
c;AruH m;adAya
p;ari triD;AtuH
y;am dev;AsaH
p;ari sicyate
naH ady;a
braDn;asya viSw;apam
naH g;iraH
s;am apsuj;it
iva y;aH
v;izve dev;AH
;indram s;omasya
;indrasya D;Amne
asi y;at
;azvAvat g;omat
;indrasya saKy;am
t;e naH
s;aKA iva
;aDi barh;iSi
pr;a y;at
ut;a pr;a
;A gaman
v;iprAH avasy;avaH
dev;aH ;A
turv;azam y;adum
eti niSkqt;am
te m;adaH
pr;a y;aH
pItv;A m;adAnAm
n;a mAt;araH
n;a vAjay;um
d;Evyam j;anam
y;at asya
z;arma triv;arUTam
;indraH vqtr;AZi
v;izvAn dev;An
naH indo
;A uB;e
ay;am s;omaH
vaH ;anDasaH
y;e arvAv;ati
ut;a u
s;UraH ;etazam
m;aDunaH BakS;am
v;i UrZute
te d;akSam
;A s;omaH
n;iH BAk
;aram ;indrasya
sapt;a sv;asAraH
v;izvA rUp;AZi
aB;i priy;am
sut;am s;omam
zr;avaH bqh;at
;apa dv;iSaH
rUp;AZi Aviz;an
;upa yAta
