adr;uhaH aps;u
DAn;Avantam karamB;iZam
;upetO s;aKA
pUrv;IH saMdaD;uH
rUp;am asmin
h;i sma
dev;AH n;a
agn;im Ixe
z;Asane raZanti
paz;avaH sam;Asate
vavre yuv;am
D;armaZi gman
rarAZ;aH syasva
sapt;a yahv;IH
v;Ajam saniSy;an
indra v;arDanaH
vaH BaraDvam
yukt;AH h;arayaH
m;A IS;A
Bava vqtrahan
duroZ;e n;ityaH
zrut;asya mahat;aH
t;uvidyumna y;azasvatA
;arcan sat;aH-sataH
hav;iH tanv:aH
dy;AvaH ;oSaDIH
v;acaH jaritar
et;e j;anima
B;Uri pazv;aH
;ekAm iva
;A agAH
y;aH v;anitA
qt;asya sIdatam
tasTO m;aDumat
y;oSA j;anitrI
vihav;e zr;oSamAZAH
ajury;am staBUy;amAnam
saMd;qze sumeD;AH
anUSata vAvqDAn;am
;it te
r;Ajantam divy;ena
u v;ipratamaH
y;e te
ca rIriSat
rev;at sqpr;A
div;i kSit;iByaH
g;iraH t;anUn;apAt
v;qSaZA v;ahAtaH
tiSWasi am;qtasya
saD;asTe Druv;aH
v;ipraH agne
uz;ijaH ;amqtyavaH
sIm avqYjan
namasy;antIH jAnate
asmin t;at
n;apAtam aDvar;e
jan;uSA viveda
j;aniBiH s;am
jAm;ayaH v;qSZe
mitr;aH dADAra
nayanti Aj;O
pAvaka te
te hqd;i
ajAyata agn;iH
v;izvam sv;Adma
v;ipraH ;ut
s;omam qtAvqDA
B;qguByaH p;ari
Datte suv;Iryam
;agram p;atat
s;omam dAz;uSaH
uS;asAm iSaZy;an
s;Ida hotar
dev;AnAm m;anuSaH
anamIv;AsaH ;ixayA
marutaH Ap;iH
UrDv;am raBas;am
tvA prayat;i
Iyiv;AMsam ;ati
ih;a vaha
;indrAya t;aviSIH
zreZiz;aH y;atAnAH
sah;asrAZi agn;im
yajY;ena ;indram
s;avane z;acyA
zar;adaH varanta
sum;anAH dIdihi
mAtr;oH aBavat
te r;asAziraH
aBavat ;aVgirAH
priy;A s;aKAyA
s;avanam c;Aru
v;apUMSi UrDv;A
antam;asya pratIc;Inam
n;akiH me
s;admanoH ket;uH
IyatuH viz;Am
saty;e ;ixAm
t;An daDiSva
te deSZ;asya
pr;atatAH aBUvan
naH juSasva
naH sacasva
hAsayanti n;a
viv;eSa y;at
;A cakruH
s;omam papiv;An
indra pqTiv;I
zuBr;am agn;im
z;oZA div;e-dive
uz;ijam ca
tr;iH ;A
asmE g;amat
h;i vrat;A
aBavat putr;aH
saKy;eBiH ziv;eBiH
zukr;EH aB;Ivqtam
kSatr;Aya r;odasI
dev;asya DImahi
;it n;u
hinvanti t;am
tv;am h;i
s;antam havyav;Aham
sUnum;ataH ;agne
aguH unnIy;amAnAH
s;anAH ;atra
;indrAya v;AhaH
;A u
B;agam indra
y;onO qt;asya
naH yajY;am
prajAn;an ;it
D;IrAH vrat;A
nayasva v;qSaZA
dev;I am;qte
g;uhyam gUX;am
h;i dev;An
pur;UZi p;ari
dr;aviZam ;A
saj;oSAH rudr;EH
jIv;ase tv;am
v;qSaZA suh;astA
im;e Boj;AH
rAy;aH azyAm
jAt;aH indra
ca dAz;uSaH
g;iraH y;at
purup;ezasam Diy;A
asm;aByam san;ayaH
somy;AsaH s;aKAyaH
kav;ikratum Ix;enyaH
zukr;am AsAm
saKy;am juSAZ;AH
k;ayA Buv;A
;A dev;AnAm
bqh;at ;agne
samIc;I ;indraH
vEzvAnar;aH pqTup;AjAH
janAmasi dvit;A
yajY;asya havyav;Aw
u v;azAnAm
yajY;AnAm vid;aTasya
;indrAgnI ;apasaH
indra tav;asA
Gqt;ena ;ApaH
ugr;aH vAvqDe
vihi ay;am
s;aKAyA suD;urA
v;iBqtaH purutr;A
bqhat;aH z;armaZi
param;A cit
yahv;am ;atiTim
pUrvav;at jan;ayan
v;i v;ajreZa
pqts;u t;An
marutvaH ih;a
y;e ;uSaH
p;arvatAnAm uzat;I
sahod;Am sasav;AMsam
marutaH s;arvavIraH
kratuv;idam sut;am
patyate m;AhinAvAn
purox;Azam sanazruta
putr;AH apapitv;am
m;ahi kS;etram
n;i yaman
hit;amitraH n;a
asm;e vEzvAnar;Aya
;ekaH dv;e
br;ahma id;am
asm;e vIr;An
im;Am ca
Imahe ;indra
tistir;e barh;iH
carSaZID;qtaH ;indram
jAmIn;Am agn;iH
agn;im varDantu
gr;asetAm ;azvA
div;aH papraTe
k;qtvaH ;IxyAya
t;ava jAtavedaH
enam y;at
t;at indrAvaruZA
v;qSaZaH s;am
;amUraH kS;ayan
;avarDan ;aBavan
;A y;am
paz;ave anamIv;AH
y;at ;asurasya
;upa jAm;im
;A jAt;am
v;Ajena vAjini
vizv;akqSwayaH ;A
;okaH saKy;am
vivqzc;at v;i
vAm yuv;oH
vid;aTe santu
y;Ami r;atnam
vAjay;antIm ava
te naMsE
p;UrvAH ;aDa
vAG;atAm ;A
;indraH daz;aBiH
svaDvar;A kqZuhi
dev;aH vay;unAni
m;antrEH ;anqtupAH
h;otA dev;aH
brahmadv;iSe t;apuSim
;A sIm
pr;a vIry:am
Ir;ayantI ;A
t;amasaH v;ahniH
indra s;omam
punAn;aH kav;iBiH
praTamaj;AH br;ahmaZaH
pqtsut;UrSu zr;avassu
;ekam m;A
girvaZaH y;aH
hrad;am kuly;AH
apapitv;am cikituH
agne t;ABiH
r;AjA s;a
tvA n;qtamam
pqTivy;A zqZutam
sut;AsaH ;indra
h;otA pur;ohitaH
prav;qt h;aryazvasya
ugr;am z;avaH
n;Ama ;A
B;UrivarpasA purupriy;aH
aDvar;e manIS;A
;Ize mah;aH
u bruvAte
ugr;am ;avaH
;A div;aH
dvit;A div;aH
s;am jaritr;e
t;Ani naH
DiS;aZAm qtAv;qDe
t;ABiH dev;AnAm
jy;otiH t;amasaH
siMh;AH n;a
;azvAH dev;IH
vanvAn;aH aj;aram
manuSv;at indra
pit;qByAm prav;idA
v;AjEH s;am
mahiSa v;qSZyeBiH
iva jagmuH
vIr;avantam p;arIZasam
pun;anti D;IrAH
svaD;ayA ca
pur;astAt br;ahma
v;iprAH v;izvAm
Ga sut;AsaH
pur;ohitaH kS;ayam
nudasva ;aTa
y;e tv;Am
uz;aDak v;aneSu
praTam;aH niS;adya
m;adanti div;aH
ap;Am zr;iyaH
vasavaH sumn;am
sarsrAte dIrG;am
ut;a ;ApaH
im;Am ;indram
pray;AH praTamaj;AH
rihat;I mimAya
;aha prasav;aH
avit;A Buvat
mah;aH s;OBagasya
suv;qtA r;aTena
asyAm raZ;ayanta
D;AmAni am;qtA
svADy:aH m;anasA
dev;akAmaH v;anaspate
h;arivate h;aryazvAya
zukr;am p;iba
B;qgUZAm uz;ijam
yAtayati bruvAZ;aH
ca savitar
;ut vaH
m;AnuSe Apay;AyAm
vy:ute tasT;uH
;anu dev;An
vyAnaz;iH r;odasI
vAvqDAn;am puruhUt;am
y;atra duhit;A
vqSAy;amAZaH ;upa
rocan;A ruruce
n;qBiH ;indra
dev;eBiH agn;iH
sur;ucaH r;ocamAnAH
g;qtsam kav;im
biBarti ;indrAya
n;a kAr;e
s;am s;ahase
kqt;am et;Am
s;adasi sv;e
am;qtam supr;atIkam
s;aKA iva
Dur;i DiSva
zuc;A-zucA sumat;im
soSavIti r;AjAnA
s;aKAyaH tvA
y;at s;inDavaH
Anaza ;indrasya
t;uByam zasyate
aB;i vakSi
tvA pad;e
indra sv;e
patyate DqSZ;u
qSv;am aj;aram
baBUva pit;uH
g;AH iSaZya
naH v;ayAMsi
dqX;am cit
juSasva naH
n;a t;ujyAH
arZav;am nqc;akSAH
dIdihi naH
B;arAya puruhUta
samAn;am ;ajmam
mitra m;artaH
ulok;e cikitv;An
;A sv:ar
Druv;aH ;A
n;irmaTitaH suniD;A
v;iSUcI mah;at
;iSaH mah;IH
r;AjA v;iBqtaH
y;Aman azv;inoH
ray;im vIr;avantam
vid;uH asya
dUt;aH vakSat
;anagnAH s;anAH
im;Ani t;uByam
u prAZ;aH
sanoti vIry:AZi
d;atram ;asti
;AyuH rUp;aM-rUpam
m;Arutena gaZ;ena
iva tasTuH
IDire y;at
te adrivaH
y;ajAsi y;at
sumnay;uH ;Ixe
gotr;A vav;arTa
prad;ivaH zruSw;im
pitum;An astu
jAyate sudinatv;e
nqcakSasaH v;i
aB;i sv;am
B;andamAne uS;asO
mah;I s;amqte
y;e dvit;A
suva sarv;atAtim
mAtar;izvA g;uhA
y;asmE D;AyuH
p;ari v;izvAni
suB;agAm aganma
;A pqTivy;AH
D;AmaBiH kav;iH
aB;ikratUnAm zun;am
uS;asO ;upAke
iS;aH raT;IH
B;UrIZi t;ava
vr;AtaM-vrAtam gaZ;aM-gaZam
muhUrt;am ;A
y;asmin s;omam
zacIvaH stok;AsaH
sumat;im rAsi
jaGAna ;Ayan
y;ajyavaH j;anAsaH
;A dqX;am
dUt;aH c;anohitaH
mimikS;um daDire
;A vanD;urA
;astam indra
tqt;Iye DAn;AH
sIm akqZvan
vqSaB;am vAvqDAn;am
mA tav;asam
s;OBagAya s;aKAyaH
maMh;anA y;ajatre
vAj;inaH d;akSiZAvat
k;aH can;a
dUr;At anamIv;AsaH
r;atnam am;qteSu
k;ozam sisice
d;amUnAH aBizastic;AtanaH
vind;amAnaH v;asUni
et;at p;anyatamAya
AnuS;ak ;ayujran
indrAgn;I vAjas;AtamA
dev;AH akqZvata
paT;i vy:ute
B;araTaH s;aKiByaH
t;am D;IrAsaH
acarat g;qtsaH
Av;iH any;at
t;aviSIBiH agn;ayaH
;A Den;avaH
div;i v;arcaH
;agne ix;A
mah;aH mah;Ani
oky:e s;omam
y;An ;A
t;asmE et;at
h;ariDAyasam pqTiv;Im
arca asmE
mahayanta c;ittiBiH
arc;iH mah;An
citr;aH n;a
duvasyan div;aH
mAdayantAm pr;ati
u dv;e
niSW;Am ;adaDuH
maGavan ranDaya
bqhat;A BAn;unA
h;arayaH vahantu
;adediSwa vqtrah;A
;agne dev;eSu
aratAm ;indraH
h;ariByAm t;adokase
aB;i zr;iyaH
p;ATaH pUrvy;am
mahim;Anam vqj;aDyE
;evEH v;izve
t;apuSim het;im
somavqdDa juS;asva
aVgirasv;at n;amasA
y;at zoc;iSA
toz;A vqtrah;aZA
qYj;anti ;AtAH
dev;aH sur;aZaH
aneh;asam k;AyamAnaH
;azvinA vAy;unA
v;izvAn svaDvar;A
naH qtv;iyaH
c;akSuH am;qtam
;amartyam j;aramAZam
s;omam z;azvate
vIry:AZi ca
B;arantI m;aDu
t;am jAn;an
yaMsi hotar
im;am v;arZam
raBas;am v;i
B;UrZim dev;AsaH
pit;aram v;aktvAnAm
raT;IH ant;ar
;Askre sap;atnI
didIhi p;uraH
m;IXvaH agne
v;qSZyeBiH Danasp;qt
kSit;IH praT;ayan
pr;a sUn;qtAH
im;A br;ahma
ih;a ;upa
;indra s;omAsaH
;iSaH didIhi
v;anaspate m;aDunA
mAy;ABiH d;asyUn
agn;aye janAmasi
y;asya r;odasI
r;erihAZA qt;asya
yajY;am hav;iSaH
zasy;amAnA Badr;A
asqjat v;i
yuD;A ;indraH
;ApaH tv;ayA
stok;AH zcotanti
sumn;Aya daDire
sasatTa ;astaBnAt
yuv;Avate n;a
p;ari D;Anam
mar;utaH qSwim;antaH
suv;AsAH p;arivItaH
d;EvInAm ut;a
vqSaB;aH vayoD;AH
rAsi v;asvaH
dev;AH s;a
sTir;O g;AvO
varanta tv;am
s;omasya pIt;aye
;advayantam pr;acetasam
y;at jAt;aH
s;adAMsi ;apazyam
ih;a DattAt
pUrv;IH dev;asya
Adity;AsaH kav;ayaH
;A t;u
;ekena k;armaZA
s;am aYjan
s;arvam t;at
dIdiv;AMsam ;upa
n;a enam
jAt;am aB;i
pqTivy;AH ;aCa
vrat;A g;uH
yant;A v;ipraH
jagm;uH p;aniSWam
varDase ;indra
havy;Ani sisrate
ca v;asvaH
zoc;iSkezaH pqTivy;Am
vqjin;An s;am
te zatakrato
ap;aH ;arZA
javete ;indreSite
avidat manIS;Am
te uS;asA
dev;An r;odasI
m;AtrABiH ririce
pr;a pIpaya
;Ayuni Urj;A
;it tvA
vAm qt;ena
iva yATaH
Irire ;indrAgnI
s;adasaH v;arIyAn
tvA dUt;aH
sud;AnuH y;am
h;aryamAZaH ;Askre
sam;atsu Gn;antam
vIr;An s;a
;indram vqtr;Aya
;AvaH ih;a
;aDArayan s;a
div;e-dive v;aruZaH
Az;U sTir;am
sabard;uGAH zazay;AH
k;Ame aMz;oH
putr;aH vay;une
apinvata ;ixA
mitr;aH aDvary;uH
n;i s;u
agne t;uByam
ih;a boDi
v;izvA UrDv;A
ajir;am pratn;am
j;iGnamAnaH t;ava
indra tav;asaH
avas;E ;A
uS;asaH te
indra pr;a
arv;Ak suy;ugBiH
agne pit;araH
saKy;e n;a
;ati D;anva
nIyate v;ipraH
im;A d;eva
;iSaH iSw;avratAH
jAt;eBiH vqtrah;A
s;ahasaH sUno
kqZv;antu vAG;ataH
;aCa vivakmi
tasTiv;AMsaH S;aw
kS;ayan v;AjEH
ev;a pAhi
z;Asat v;ahniH
juSAZ;aH p;iba
yAhi kalyAZ;IH
iva m;eDAH
n;u s;adanam
sv;asArO mah;at
viprAH qSayaH
jajAna im;A
papraTe k;AmaH
naraH uz;ijaH
yajY;AnAm s;ADadiSwim
v;ipAw zutudr;I
azret pr;a
vahantu pr;a
zuB;e s;ammizlAH
;arujaH g;avyam
v;izvAni v;AryA
G;asaH joS;ayAse
ut;a ;aBaye
dev;IH sas;Ana
y;ajiSWaH aDvar;e
;indraH t;ujaH
sur;ucam vizv;adevyam
kave ;aDa
m;ayaH daDe
dvimAt;A abanDan;aH
tv;Am ay;am
me v;acase
;agne y;ajiSWaH
zimbal;am cit
v;aneSu Av;iH
r;aTasya DUrS;u
t;aviSIH ;anuttAH
agne v;ahnim
;indraH v;izvEH
;indra tv;at
aMz;um duhanti
cikite janAsaH
n;a pr;a
te G;oSAn
naH z;armAZi
Bara B;agam
zr;avassu ca
kqt;AH DAn;AH
g;aviSwO y;e
zazvattam;am ;avase
arocata mAt;uH
;A uruvy;acAH
;arjunam v;ajram
s;omasya n;u
d;IDyAnAH ;A
saKitv;am sumat;im
ca zamB;uH
h;avante saKy;am
pratim;E sukqt;Ani
p;arvatAsaH Druv;akSemAsaH
v;izvAH aB;i
y;ayoH ;anu
dAs;apatnIH aDUnutam
kuv;it r;AjAnam
;upAke ut;a
pr;a r;aZyAni
it;aH Av;qte
p;aniSWam jAt;am
bruvAZ;aH mitr;aH
;ekam c;arat
ant;ar h;ariH
dev;am n;araH
id;am cit
bqhat;aH syAma
rAt;A hav;IMSi
pUrvy;am saDry:ak
s;usammqSwAsaH vqSaB;asya
vartan;im g;OH
cikitv;An ev;a
apUp;avantam ukT;inam
Druv;am ayAH
s;inDuH n;a
indra madry:ak
devay;antaH jAt;aH
dev;An yaj;aTAya
B;arantaH aMz;um
Imahe vay;am
g;oH any;ad-anyat
tv;Am sut;asya
hav;iSmatIm iyarmi
;agne d;uvaH
y;ataH jAt;aH
dr;aviZA ih;a
d;aDAnaH agn;iH
;apAk ;udak
br;ahmaZA z;iraH
;upa dev;An
;A vivAsanti
saj;itvAnA ;aparAjitA
naH br;ahman
r;Asva r;atnAni
ita kuzikAH
pUrvy;eBiH y;aH
jigAsi ;aCa
B;agaH s;a
t;ABiH naH
vrat;A te
jaVGanat pr;Ak
yajY;An aBip;Asi
ugr;asya y;UnaH
d;Idyat yuYj;e
stIrZ;AH asya
praZy:aH v;arDamAnAH
qt;am v;arSiSWam
;upa yAhi
sukr;atuH vip;Am
arvAc;Inam s;u
pr;a arocayat
asm;Akam pit;araH
suva tr;iH
y;ajIyAn UrDv;aH
v;ArtrahatyAya z;avase
param;am pAti
tira im;am
vaH dUr;At
susanitar D;anAnAm
t;at v;qSZaH
s;am mimIhi
agn;im j;animan
sv;avAn qt;AvA
y;aTA div;aH
iSir;am svard;qzam
Az;iram duhr;e
iva y;oSA
ray;im rakSanti
v;Ajam zun;am
h;otAram m;anuSaH
;akSIyamAZam vipazc;itam
pav;itrEH zoc;iH
rocan;AnAm y;adi
suvqkt;im UrDv;am
v;irUpAH div;aH
janAsaH loD;am
y;am dev;AsaH
im;A yukt;AH
v;ivAcaH ;aTa
pr;a mitr;AsaH
pAtaly:e dadatAm
;IxyaH jAgqv;adBiH
d;AtivArAH t;eBiH
prarek;e Urv;aH
hav;irBiH ;A
;agne y;at
cikitvaH ;avqZImahi
u dviSm;aH
viB;AvA dev;aH
Adity;asya vrat;am
;A ;avivezIH
sTir;Aya v;qSZe
DiS;aZA jaj;Ana
navat;im p;uraH
samIc;IH v;izvAH
samIc;I uB;e
;aSAXaH agne
agn;iH hav;iH
BUtu asm;e
n;a t;at
yajY;EH suvqkt;iBiH
y;aTA ;apibaH
Gan;am vqtr;AZAm
tujat;aH m;artyasya
r;atnAni dAz;uSe
v;i minvan
m;ade ;apa
mAy;inaH mamire
D;armAZi san;atA
b;alam tok;Aya
aDvar;AZAm agn;iH
nUn;am anum;adanti
vAm pUrvy;AH
Aj;O im;am
te pUSan
aznoti ;antitaH
;A atirat
apizarvar;e ;A
agAt s;a
sv;AH zun;am
;Ahutam ;aTa
jajAna aruS;astUpaH
avqZot h;ariBiH
pur;aH ;azvAt
id;am div;e
prAt;ar ;adrayaH
santya ;qSiH
t;uByam havy;Ani
sat;IH aB;i
barh;iH Ut;aye
niD;Anam vim;ocanam
citr;am v;apuSAya
div;e-dive sad;qzIH
pAhi p;anyaH
miTun;Ani n;Ama
n;avyase z;ucim
agne Bavasi
cit y;A
;AyuH d;asyoH
;A gahi
v;anasp;atiH m;A
agn;ayaH zuB;e
;avahat sud;Asam
viSwv;I z;amIBiH
;evEH ur;O
t;iSWAH aB;i
v;aruZaH jAt;avedAH
saMjigIv;An yajY;asya
pakv;am P;alam
mah;Am ;indram
Diy;A g;Am
jIyate tv;otaH
heS;akratavaH sud;AnavaH
yuv;oH qt;am
aB;i D;IrAH
;asurasya vIr;AH
vyaTete ;ejat
duvasyati viv;asvataH
bqh;at mimAya
vA Ga
c;ittiBiH rurucAn;am
pqTivy;AH ;aDi
;ApaH purISy:AsaH
aruS;am mahitv;A
cakre eS;aH
im;am m;ADyaMdinam
rev;at USuH
pratn;am ;Ixyam
darzat;AH y;ajatrAH
pibatam asr;iDA
y;ajatrAH y;A
eti niSkqt;am
y;at Im
nady:aH johavIti
g;oH vrat;A
puruD;apratIkaH ugr;aH
mahin;A d;ivam
y;at mA
j;anAn pr;a
barh;iH y;ajamAnasya
sah;amUlam indra
dev;eSu ca
pqTivy;AH Adity;asya
;ahnAm samary;e
mAt;qSu priy;am
;ApaH y;oktrAZi
inDate h;otAram
kr;atvA d;akSasya
tv;Am y;at
vocatu sarv;atAtA
;apratiSkutam t;am
indra s;agaZaH
;indra qB;uBiH
vqdD;am s;adasi
r;atnA d;ayamAnaH
t;at ;indraH
akt;uBiH ajyate
vAvazAn;AH mah;aH
sr;iDaH s;a
veda j;anima
m;aDye ;A
dev;An ;A
;Ahutim purox;Azam
pr;acetAH st;omam
sas;Ana m;aryaH
s;ujAtam mAt;qSu
r;AjA mah;at
tvA v;asupatim
adyOt d;aDAnaH
citr;ayAmam h;arikezam
yajasva ;ixAm
vAvazAn;aH agn;eH
s;aKiByaH ay;am
n;a vAy;uH
vizv;avAraH zoc;iSkezaH
ajyase ;indra
sahaskqta ;agne
ha vAm
p;ATaH z;qVgAZi
n;AnA cakrAte
;indraH dqX;A
uBay;atra te
;it ;azvEH
ur;um gaBIr;am
p;invamAne any;A
tv;Am Imahe
y;ajvA kav;itamaH
m;artyasya supAr;AsaH
;upa kSeti
d;amAya y;adi
kav;iH candr;am
vajrahasta p;iba
m;artye B;ujam
camv:A samIc;I
div;aH yahv;IH
somap;Am ur;um
v;anaspate ;ava
jAt;am eSAm
vidv;An ;upa
Ajata ;A
sAt;aye DAH
Bava tv;Am
vqSaBa p;Atav;E
n;a dy;AvaH
b;arhiSWam arca
vrat;am vratap;AH
g;AH ant;ar
s;argataktaH kiMy;uH
sah;asravat tok;avat
j;anma iva
kar ;agram
svard;qzam ket;um
iSit;A ;indrAgnI
asya dev;AH
yajY;eSu qtv;ijam
aruS;astUpaH r;uzat
param;e vy:oman
zqZve avam;EH
tr;IZi rAjAnA
d;akSasya ix;A
DiyAvaso purox;AH
pinvaDvam iS;ayantIH
vip;Am vizp;atim
supAZ;iH sv;avAn
jAt;avedasam v;ahnim
te j;Ayate
devazravaH y;aH
h;arI r;aTe
asm;in h;otar
dasm;asya mAt;arA
priy;A D;AmAni
agn;iH suv;Iryasya
any;at r;ocate
v;ayaH DAH
dy;AvA m;Ahine
p;iba indra
jagmuH ;ataH
;qGAvAn y;at
kSit;iByaH aps;u
am;atim y;Am
k;Amam qDyAH
kuzik;AsaH akran
;Aza vqtr;am
;apazyam ;atra
gahi ;aTa
Dar;uZeSu g;Atave
r;AjA sasAda
mimAya jam;adagnidattA
y;aH te
yAsi s;ADan
yajY;Aya r;odasI
dUt;aH aBavaH
m;aDunaH Gqt;asya
b;qhasp;atim aDvar;eSu
;qDak dev;An
zasyate t;Am
z;ucim ;advayAvinam
devay;AnEH d;asrO
indra praj;AvAn
sahasr;iZam v;Ajam
v;arDamAnAH m;anovAtAH
duroZ;e suB;agasya
;astaBnAt dy;Am
uB;e maK;asya
s;omaH pqZ;ati
aradat v;ajrabAhuH
any;e Asate
s;adane sasatTa
s;adasi Ixe
m;adantaH Adity;EH
d;akSiZABiH b;qhaspate
suh;avasya pr;aZItO
;A vaha
h;aritam r;aTam
kuly;AH iva
b;ADamAnA bqh;at
u nayasva
v;aruZaH y;uvAnaH
r;odasI meh;anAvAn
;A vim;ocanAt
;agne v;izveBiH
te m;anave
tvA y;ajamAnaH
v;arDantu tvA
div;aH ark;EH
pacaty:am juS;asva
ant;ar apAr;e
havyav;Aw ;amartyaH
y;asya priy;e
naH pqTiv;I
c;anohitaH namasy;ata
z;aMsantaH qt;am
kuv;it mA
me hiraZy;ayIm
g;arBaH iva
zqZIhi ;A
asmi j;anmanA
;apratItaH pr;a
mitr;asya v;aruZasya
p;arIZasam zizIh;i
supAr;am ;indram
mah;An asi
iy;am te
Gqt;asya kavizast;aH
pr;aZItI t;ava
suk;qtaH takSata
tvA somy;AsaH
paTy:A s;A
pratn;asya k;Amyam
div;e n;amaH
jajAna suB;agA
ah;am ;indram
mamire rUp;am
r;atnam susanitar
akt;oH viv;asvatyAH
y;eBiH vqtr;asya
yajY;asya ket;um
vqSaB;aH kan;InaH
